,id,price,builtArea,pricePerBuiltSqm,stratum,administrationFee,floor,isDuplex,privateArea,rooms,toilets,parkingSpaces,hasServiceRoom,hasServiceToilet,hasLaundryZone,hasDeposit,hasStudy,isExterior,hasTerrace,terraceArea,hasCommunalHall,hasTennisCourt,hasSoccerField,hasKidsPlayZone,hasGreenZones,isResidentialComplex,hasConcierge,hasVisitorParking,hasPool,long,lat,geometry
4725,80412555-108e-4a9d-9cb8-79e9e3aa612e,120000000,62.0,1935483.8709677416,3.0,2718437.97185619,3.0,False,62.0,3,1,1.6517575616022422,False,False,False,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.55581,6.266265,POINT (-75.55581 6.266265)
4726,80418e6a-bb30-44a9-841f-1c69528f8899,680000000,111.0,6126126.126126126,6.0,524000.0,13.0,False,125.07398355754857,3,3,2.0,False,False,True,False,True,False,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.568596,6.2135243,POINT (-75.568596 6.2135243)
4727,80457dbe-bceb-4832-b53b-50d59d763eaf,3090000000,346.0,8930635.838150289,6.0,1300000.0,7.125251846877099,False,346.0,3,4,3.0,False,False,True,True,True,False,True,97.0,True,False,False,False,True,True,True,False,False,-75.56032,6.183839,POINT (-75.56032 6.183839)
4728,80471c2e-c5aa-4cd0-a309-e9253cafc4fc,210000000,50.0,4200000.0,4.0,140000.0,7.125251846877099,False,55.0,3,2,1.0,False,False,True,True,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.60212,6.218256,POINT (-75.60212 6.218256)
4729,804ae1be-ae17-4563-ad6b-58bce5b090c3,238000000,80.0,2975000.0,3.0,2718437.97185619,3.0,False,80.0,3,2,1.6517575616022422,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,True,True,True,True,False,-75.55373,6.2351084,POINT (-75.55373 6.2351084)
4730,804c4710-45cd-4bd8-a09f-a4c4d529d5a6,1250000000,185.0,6756756.756756756,6.0,2718437.97185619,12.0,False,185.0,3,5,2.0,True,False,True,True,True,False,False,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.55784,6.1824417,POINT (-75.55784 6.1824417)
4731,805810e4-4f41-446a-bb2c-975cc584a4b2,500000000,156.0,3205128.205128205,5.0,2718437.97185619,5.0,False,156.0,3,3,1.0,True,False,True,False,True,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.59328,6.2446666,POINT (-75.59328 6.2446666)
4732,8058d8f3-dbab-4af7-a97c-4c1d30f3fe21,350000000,60.0,5833333.333333333,6.0,2718437.97185619,1.0,False,60.0,1,1,1.0,False,False,True,True,True,False,False,28.139204545454547,False,False,False,False,True,True,True,True,False,-75.555626,6.211369,POINT (-75.555626 6.211369)
4733,805de4e0-76fe-426c-be6e-271b07959390,500000000,93.0,5376344.086021505,6.0,364000.0,7.125251846877099,False,93.0,3,2,2.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.572556,6.19812,POINT (-75.572556 6.19812)
4734,8060d3e7-025b-42db-9f4b-d5f8f89e5b2a,460000000,160.0,2875000.0,6.0,508000.0,7.125251846877099,False,160.0,3,3,2.0,True,False,True,True,True,True,False,28.139204545454547,False,False,False,True,True,True,True,False,False,-75.55538,6.2014885,POINT (-75.55538 6.2014885)
